STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2013,,67.005,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2014,,86.449,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2015,,94.089,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2016,,49.941,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2017,,123.149,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2018,,239.094,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2019,,123.502,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2020,,150.666,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2021,,227.071,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2022,,143.435,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AL,Albania,2023,,144.329,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2013,,3316.827,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2014,,3049.524,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2015,,3225.201,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2016,,3013.647,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2017,,3108.778,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2018,,2739.549,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2019,,2885.071,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2020,,2471.505,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2021,,2555.569,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2022,,2481.616,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2023,,2402.802,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,AT,Austria,2024,,2341.112,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2014,,3657.915,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2015,,3615.414,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2016,,4111.803,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2017,,4188.714,,,,,
